table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,
,2010,2019
"Warm River city, Idaho",3,3
"Weippe city, Idaho",461,444
"Weiser city, Idaho","5,485","5,376"
"Wendell city, Idaho","2,782","2,714"
"Weston city, Idaho",435,470
"White Bird city, Idaho",93,95
"Wilder city, Idaho","1,534","1,823"
"Winchester city, Idaho",339,443
"Worley city, Idaho",257,262
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. An ""(X)"" in the 2010 Census field indicates a locality that was formed or incorporated after the 2010 Census. Additional information on these localities can be found in the Geographic Boundary Change Notes (see https://www.census.gov/programs-surveys/geography/technical-documentation/boundary-change-notes.html). For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,
Suggested Citation:,,
"Annual Estimates of the Resident Population for Incorporated Places in Idaho: April 1, 2010 to July 1, 2019 (SUB-IP-EST2019-ANNRES-16)",,
"Source: U.S. Census Bureau, Population Division",,
Release Date: May 2020,,
